"id" "zspec" "flag" "zphot_best" "ra" "dec" "g_AB" "g_AB_lim" "mask_design_flag" "flag_gzk_ir" "flag_gzk_opt" "flag_BM" "flag_BX" "flag_LBG" "flag_BZ36" "flag_photz" "flag_xray" "flag_radio" "flag_bright_guide_star" "pointing" "mask" "quad" "slit" "obj" "year_reduction" "source_zphot_best" "flag_ilbert_photz1.7"
400155 1.7153 1.5 1.7620 150.245071 1.718697 23.68 24.50 1 1 0 0 0 0 -1 1 0 0 0 72 1 4 65 1 81 1 0
400169 1.8778 1.5 1.7040 150.466141 1.717207 25.20 25.25 1 1 0 0 0 0 -1 1 0 0 0 82 1 4 55 2 83 2 0
400172 9.9999 0.0 2.5110 150.313538 1.717348 25.13 25.25 1 1 0 0 0 0 -1 1 0 0 0 72 1 4 66 2 81 1 0
400176 1.0421 3.5 1.0940 150.216034 1.719015 23.05 24.50 1 1 0 0 0 0 -1 1 0 0 0 62 1 4 57 1 83 2 0
400177 2.2830 2.1 1.6262 150.403671 1.718047 25.07 25.25 1 1 0 0 0 0 -1 1 0 0 0 82 1 4 54 1 83 2 0
400179 0.7473 3.1 2.1451 149.916779 1.719230 24.30 25.25 2 1 0 0 0 0 -1 1 0 0 2 42 1 4 58 1 83 3 -99
400183 9.9999 0.0 2.0773 150.050568 1.718403 25.00 25.25 1 1 0 0 0 0 -1 1 0 0 0 42 1 1 56 1 83 2 0
400185 9.9999 0.0 -9.9999 150.551666 1.718693 24.18 25.25 1 1 0 0 0 0 -1 1 0 0 0 82 1 1 52 2 83 -1 -99
400190 2.2437 2.1 1.8932 150.466019 1.718407 25.14 24.50 1 1 0 0 0 0 -1 0 0 0 0 82 1 4 55 1 83 2 0
400192 9.9999 0.0 1.4985 150.014893 1.722748 24.99 25.25 1 1 1 0 0 0 -1 1 0 0 0 42 1 1 54 2 83 2 0
400196 9.9999 0.0 1.6822 149.843765 1.719103 24.96 25.25 1 1 1 1 0 0 -1 1 0 0 0 42 1 4 57 2 83 2 0
400201 1.7732 1.5 1.5311 150.134415 1.719275 23.87 25.25 1 1 1 0 1 0 -1 1 0 0 0 42 1 1 57 4 83 2 0
400202 2.2545 2.5 2.2830 150.432358 1.718882 24.43 25.25 1 1 0 0 0 0 -1 1 0 0 0 72 1 1 67 1 81 1 0
400206 9.9999 0.0 1.7857 149.780975 1.719158 25.12 25.25 1 1 1 0 1 0 -1 1 0 0 0 32 1 4 66 3 81 1 0
400215 1.6591 1.1 1.1457 150.349380 1.720149 24.31 24.50 1 1 1 0 0 0 -1 1 0 0 0 62 1 1 58 1 83 2 0
400216 1.4414 13.5 1.4258 150.360428 1.720030 24.57 24.50 2 1 1 0 0 0 -1 0 2 0 0 82 1 4 53 1 83 4 2
400237 1.6415 1.5 1.6670 150.387665 1.721256 24.07 25.25 1 1 0 0 0 0 -1 1 0 0 0 62 1 1 59 2 83 3 -99
400239 9.9999 0.0 1.4116 150.322769 1.721562 24.39 24.50 1 1 0 0 0 0 -1 1 0 0 0 72 1 4 64 1 81 1 0
400250 1.7879 1.5 1.8010 150.451508 1.722002 25.05 25.25 1 1 1 1 0 0 -1 1 0 0 0 72 1 1 65 1 81 1 0
400251 1.6479 3.5 1.6850 149.961349 1.722996 23.69 24.50 1 1 1 0 0 0 -1 1 0 0 0 42 1 4 56 2 83 2 0
400252 2.0477 2.5 1.9790 150.493835 1.722749 24.98 25.25 1 1 1 0 0 0 -1 1 0 0 0 72 1 1 66 1 81 1 0
400253 1.6274 2.5 1.6450 150.125366 1.722309 24.05 24.50 1 1 1 0 1 0 -1 1 0 0 0 42 1 1 55 1 83 2 0
400254 9.9999 0.0 2.2474 149.976517 1.722628 24.39 25.25 2 1 0 0 0 0 -1 1 0 0 2 52 1 4 55 3 81 3 -99
400259 2.2688 23.5 2.2550 150.014969 1.723009 25.13 25.25 1 1 1 0 0 0 -1 1 0 0 0 42 1 1 54 1 83 2 0
400260 9.9999 0.0 1.9708 150.383118 1.723969 24.00 25.25 2 1 0 0 0 0 -1 1 0 0 2 82 1 4 51 1 83 2 0
400266 1.5442 2.5 1.4820 150.219574 1.723060 23.79 24.50 1 1 0 0 1 0 -1 1 0 0 0 62 1 4 54 1 83 2 0
400267 1.5116 1.5 1.4440 150.246140 1.723535 23.48 24.50 1 1 1 1 0 0 -1 1 0 0 0 52 1 1 59 1 81 1 0
400270 9.9999 0.0 1.4162 149.810120 1.724410 24.13 25.25 1 1 1 0 0 0 -1 1 0 0 0 32 1 4 64 1 81 1 0
400272 1.4473 3.5 1.2550 149.844727 1.723708 23.71 24.50 1 1 1 0 0 0 -1 1 0 0 0 42 1 4 54 1 83 2 0
400275 2.5336 2.1 1.2452 150.098053 1.724752 25.21 24.50 1 1 1 0 0 0 -1 0 0 1 0 62 1 4 52 2 83 2 0
400277 1.9942 3.5 1.7104 150.574722 1.723487 24.89 25.25 1 1 0 0 0 0 -1 1 0 0 0 82 1 1 51 2 83 2 0
400290 3.2973 13.5 3.2920 149.926163 1.724759 24.50 25.25 1 1 1 0 0 1 -1 1 0 0 0 32 1 1 60 2 81 1 0
400292 1.5158 2.5 1.3830 150.444595 1.724655 24.36 24.50 1 1 1 1 0 0 -1 1 0 0 0 82 1 4 52 2 83 2 0
400300 9.9999 0.0 1.9203 149.770386 1.724623 24.87 25.25 1 1 1 1 0 0 -1 1 0 0 0 32 1 4 63 1 81 2 0
400304 1.9324 1.5 1.9190 150.140549 1.724798 24.59 25.25 1 1 1 1 0 0 -1 1 0 0 0 52 1 1 57 1 81 1 0
400307 9.9999 0.0 1.1944 150.405807 1.726097 24.36 24.50 2 1 0 0 0 0 -1 1 0 0 2 72 1 1 62 1 81 3 -99
400308 2.0913 2.1 1.4529 149.968582 1.725764 23.92 24.50 1 1 1 0 0 0 -1 1 0 0 0 32 1 1 61 1 81 1 0
400309 9.9999 20.0 1.6730 150.329376 1.725109 25.20 25.25 1 1 1 0 1 0 -1 1 0 0 0 72 1 4 63 3 81 1 0
400318 1.5847 1.1 1.3012 150.516525 1.726196 23.60 24.50 1 1 1 1 0 0 -1 1 0 0 0 72 1 1 64 1 81 1 0
400319 2.0030 2.5 1.9830 150.039642 1.726163 24.90 25.25 1 1 1 1 0 0 -1 1 0 0 0 42 1 1 52 1 83 2 0
400321 1.9679 1.1 1.4918 150.312744 1.725622 24.21 24.50 1 1 0 0 0 0 -1 1 0 0 0 62 1 1 55 1 83 2 0
400325 9.9999 0.0 1.9502 150.329666 1.725853 24.88 25.25 1 1 1 0 1 0 -1 1 0 0 0 72 1 4 63 2 81 1 0
400328 1.3734 1.5 1.3060 150.289383 1.726030 24.39 24.50 1 1 1 1 0 0 -1 1 0 0 0 72 1 4 62 2 81 1 0
400332 9.9999 0.0 2.0683 150.225403 1.726162 24.32 25.25 1 1 0 0 1 0 -1 1 0 0 0 72 1 4 61 1 81 1 0
400334 1.7410 1.5 1.8708 150.531509 1.726861 24.34 24.50 1 1 1 0 1 0 -1 1 0 0 0 82 1 1 47 1 83 2 0
400336 1.4071 3.5 1.3540 150.585327 1.727169 24.01 24.50 1 1 0 0 0 0 -1 1 0 0 0 82 1 1 48 2 83 2 0
400342 2.2648 1.5 1.9470 150.019714 1.727300 24.45 25.25 1 1 1 1 0 0 -1 1 0 0 0 52 1 4 53 1 81 1 0
400358 9.9999 0.0 1.6009 149.750961 1.727804 23.94 24.50 1 1 1 0 1 0 -1 1 0 0 0 32 1 4 61 2 81 1 0
400360 1.6488 3.5 1.6250 150.099030 1.728304 23.64 24.50 1 1 0 1 0 0 -1 1 0 0 0 62 1 4 50 2 83 2 0
400363 0.5328 1.1 2.1573 150.188950 1.728425 24.22 25.25 1 1 1 0 1 0 -1 1 0 0 0 52 1 1 55 1 81 1 0
400370 1.9313 2.5 1.9860 150.278397 1.729235 24.00 25.25 1 1 1 0 1 0 -1 1 0 0 0 62 1 1 51 1 83 2 0
400372 9.9999 20.0 1.8622 149.751099 1.729234 24.44 25.25 1 1 1 0 1 0 -1 1 0 0 0 32 1 4 61 1 81 1 0
400373 2.2145 1.1 1.4232 150.039185 1.729241 24.27 24.50 1 1 1 1 0 0 -1 1 0 0 0 42 1 1 51 3 83 2 0
400376 1.9254 1.5 1.9710 150.142181 1.729730 23.81 25.25 1 1 1 1 0 0 -1 1 0 0 0 52 1 1 54 1 81 1 0
400378 1.5016 1.5 1.4720 150.377991 1.729749 23.94 24.50 1 1 1 0 0 0 -1 1 0 0 0 62 1 1 53 1 83 2 0
400379 1.6490 1.5 1.4171 149.970978 1.729121 24.32 24.50 1 1 1 1 0 0 -1 1 0 0 0 32 1 1 58 2 81 1 0
400388 1.5538 2.5 1.4400 150.226929 1.730583 23.96 24.50 1 1 1 1 0 0 -1 1 0 0 0 72 1 4 58 1 81 1 0
400392 2.4200 3.5 2.5310 150.358551 1.730598 24.94 25.25 1 1 0 0 1 0 -1 1 0 0 0 82 1 4 49 1 83 2 0
400399 1.7087 2.5 1.4691 150.071075 1.731062 24.20 24.50 1 1 0 1 0 0 -1 1 0 0 0 52 1 4 52 1 81 1 0
400408 1.5866 2.1 1.2187 150.212006 1.731911 24.33 24.50 1 1 1 1 0 0 -1 1 0 0 0 62 1 4 49 1 83 2 0
400409 1.4729 2.5 1.3740 150.094025 1.731814 24.02 24.50 1 1 1 1 0 0 -1 1 0 0 0 62 1 4 47 1 83 2 0
400410 2.1808 2.1 1.3851 149.935730 1.732302 24.02 24.50 1 1 1 0 0 0 -1 1 0 0 0 42 1 4 51 2 83 2 0
400412 9.9999 0.0 2.5000 149.718948 1.732311 24.73 25.25 1 1 0 0 1 0 -1 1 0 0 0 32 1 4 58 1 81 1 0
400414 9.9999 0.0 2.0828 149.848404 1.732576 23.91 25.25 1 1 0 0 0 0 -1 1 0 0 0 42 1 4 50 2 83 3 -99
400426 9.9999 0.0 1.4480 150.228439 1.733648 23.40 24.50 1 1 1 1 0 0 -1 1 0 0 0 72 1 4 55 1 81 1 0
400432 1.6117 2.5 1.4200 149.908096 1.733247 24.22 24.50 1 1 1 1 0 0 -1 1 0 0 0 32 1 1 54 1 81 1 0
400438 2.8050 9.1 1.8861 150.308151 1.733840 25.18 25.25 1 1 0 0 0 0 -1 1 0 0 0 62 1 1 50 1 83 2 0
400454 2.2353 1.5 2.2870 150.317535 1.733715 24.68 25.25 1 1 1 0 1 0 -1 1 0 0 0 72 1 4 57 2 81 1 0
400458 0.9547 1.1 1.4090 150.116302 1.734597 24.38 24.50 1 1 1 0 0 0 -1 1 0 0 0 42 1 1 50 1 83 2 0
400462 9.9999 0.0 -9.9999 149.950699 1.734503 24.27 25.25 1 1 0 0 0 0 -1 1 0 0 0 32 1 1 55 1 81 -1 -99
400468 9.9999 0.0 1.8924 150.182861 1.734692 24.72 25.25 1 1 1 1 0 0 -1 1 0 0 0 52 1 1 53 1 81 1 0
400475 9.9999 0.0 2.1140 149.781677 1.735037 24.89 25.25 1 1 1 1 0 0 -1 1 0 0 0 32 1 4 57 1 81 1 0
400476 2.4276 1.1 1.1687 150.076706 1.735077 23.18 24.50 1 1 1 1 0 0 -1 1 0 0 0 52 1 4 50 1 81 1 0
400479 9.9999 0.0 1.4022 150.439606 1.735102 24.30 24.50 1 1 1 1 0 0 -1 1 0 0 0 72 1 1 57 1 81 1 0
400483 2.7657 14.5 2.5755 150.396790 1.735692 23.08 25.25 2 1 1 0 1 0 -1 1 2 0 0 72 1 1 56 2 81 4 2
400491 2.7832 3.5 2.8250 150.107056 1.735426 24.70 25.25 1 1 1 0 1 0 -1 1 0 0 0 62 1 4 46 1 83 2 0
400492 9.9999 0.0 1.3273 150.492798 1.736204 24.48 24.50 1 1 0 0 0 0 -1 1 0 0 0 72 1 1 58 1 81 2 0
400493 9.9999 0.0 1.7324 149.997650 1.735314 24.73 25.25 1 1 1 1 0 0 -1 1 0 0 0 32 1 1 56 1 81 1 0
400494 9.9999 0.0 1.1524 150.598404 1.735854 24.89 25.25 1 1 0 0 0 0 -1 1 0 0 0 82 1 1 43 3 83 2 0
400501 2.3889 3.5 2.3940 149.867172 1.735955 24.43 25.25 1 1 1 0 1 0 -1 1 0 0 0 42 1 4 48 1 83 2 0
400503 1.9431 1.1 0.9025 149.997177 1.735839 24.44 24.50 1 1 0 0 0 0 -1 1 0 0 0 52 1 4 49 3 81 1 0
400519 1.5851 2.5 1.7780 150.551117 1.737662 24.18 24.50 1 1 1 1 0 0 -1 1 0 0 0 82 1 1 42 3 83 2 0
400520 2.2114 2.1 1.3956 150.263733 1.738146 24.28 24.50 1 1 0 1 0 0 -1 1 0 0 0 72 1 4 53 1 81 1 0
400522 9.9999 0.0 2.1760 150.323593 1.737982 24.94 25.25 1 1 1 0 0 0 -1 1 0 1 0 72 1 4 54 3 81 1 0
